date,service,instance,level,anomaly_type,st_time
2022-05-01,recommendationservice,recommendationservice-0,pod,k8s容器读io负载,2022-05-01 01:48:57.000000
2022-05-01,frontend,frontend-2,pod,k8s容器内存负载,2022-05-01 03:37:36.000000
2022-05-01,paymentservice,paymentservice,service,k8s容器网络资源包重复发送,2022-05-01 06:36:09.000000
2022-05-01,currencyservice,currencyservice,service,k8s容器网络丢包,2022-05-01 07:45:27.000000
2022-05-01,emailservice,emailservice,service,k8s容器网络丢包,2022-05-01 08:36:55.000000
2022-05-01,checkoutservice,checkoutservice-0,pod,k8s容器cpu负载,2022-05-01 08:51:11.000000
2022-05-01,cartservice,cartservice,service,k8s容器网络资源包重复发送,2022-05-01 09:05:22.000000
2022-05-01,checkoutservice,checkoutservice,service,k8s容器cpu负载,2022-05-01 09:37:43.000000
2022-05-01,emailservice,emailservice,service,k8s容器cpu负载,2022-05-01 12:46:57.000000
2022-05-01,frontend,frontend-0,pod,k8s容器写io负载,2022-05-01 13:23:00.000000
2022-05-01,productcatalogservice,productcatalogservice-0,pod,k8s容器网络资源包损坏,2022-05-01 13:43:39.000000
2022-05-01,paymentservice,paymentservice,service,k8s容器cpu负载,2022-05-01 14:28:53.000000
2022-05-01,recommendationservice,recommendationservice-0,pod,k8s容器写io负载,2022-05-01 16:03:16.000000
2022-05-01,emailservice,emailservice-1,pod,k8s容器读io负载,2022-05-01 16:23:00.000000
2022-05-01,frontend,frontend-0,pod,k8s容器cpu负载,2022-05-01 17:49:36.000000
2022-05-01,emailservice,emailservice,service,k8s容器读io负载,2022-05-01 17:55:58.000000
2022-05-01,paymentservice,paymentservice,service,k8s容器cpu负载,2022-05-01 18:32:20.000000
2022-05-01,frontend,frontend,service,k8s容器读io负载,2022-05-01 18:58:00.000000
2022-05-01,shippingservice,shippingservice-0,pod,k8s容器cpu负载,2022-05-01 20:20:33.000000
2022-05-01,cartservice,cartservice-2,pod,k8s容器网络丢包,2022-05-01 21:03:52.000000
2022-05-01,emailservice,emailservice,service,k8s容器网络资源包重复发送,2022-05-01 22:22:56.000000
2022-05-01,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-01 22:37:20.000000
2022-05-01,recommendationservice,recommendationservice-2,pod,k8s容器网络资源包损坏,2022-05-01 22:59:26.000000
2022-05-01,currencyservice,currencyservice-2,pod,k8s容器读io负载,2022-05-01 23:40:05.000000
2022-05-01,shippingservice,shippingservice-2,pod,k8s容器网络丢包,2022-05-01 05:52:35.000000
2022-05-01,productcatalogservice,productcatalogservice-2,pod,k8s容器进程中止,2022-05-01 12:36:35.000000
2022-05-01,frontend,frontend-1,pod,k8s容器网络延迟,2022-05-01 11:59:46.000000
2022-05-01,shippingservice,shippingservice,service,k8s容器网络延迟,2022-05-01 19:08:58.000000
2022-05-01,checkoutservice,checkoutservice,service,k8s容器网络延迟,2022-05-01 15:10:43.000000
2022-05-01,checkoutservice2,checkoutservice2-0,pod,k8s容器进程中止,2022-05-01 14:06:13.000000
2022-05-03,shippingservice2,shippingservice2-0,pod,k8s容器内存负载,2022-05-03 00:50:38.000000
2022-05-03,adservice2,adservice2-0,pod,k8s容器网络资源包损坏,2022-05-03 02:21:58.000000
2022-05-03,paymentservice,paymentservice-1,pod,k8s容器网络丢包,2022-05-03 03:01:49.000000
2022-05-03,productcatalogservice,productcatalogservice,service,k8s容器网络资源包重复发送,2022-05-03 03:31:46.000000
2022-05-03,productcatalogservice,productcatalogservice-2,pod,k8s容器写io负载,2022-05-03 03:49:27.000000
2022-05-03,recommendationservice,recommendationservice,service,k8s容器读io负载,2022-05-03 04:32:34.000000
2022-05-03,currencyservice,currencyservice-0,pod,k8s容器网络丢包,2022-05-03 05:36:01.000000
2022-05-03,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-03 06:12:54.000000
2022-05-03,cartservice2,cartservice2-0,pod,k8s容器网络资源包重复发送,2022-05-03 06:23:11.000000
2022-05-03,recommendationservice,recommendationservice-1,pod,k8s容器网络丢包,2022-05-03 06:56:52.000000
2022-05-03,recommendationservice,recommendationservice,service,k8s容器网络丢包,2022-05-03 07:14:17.000000
2022-05-03,cartservice,cartservice,service,k8s容器网络丢包,2022-05-03 07:52:18.000000
2022-05-03,emailservice,emailservice-2,pod,k8s容器网络资源包损坏,2022-05-03 08:25:24.000000
2022-05-03,emailservice,emailservice,service,k8s容器写io负载,2022-05-03 08:43:49.000000
2022-05-03,frontend,frontend,service,k8s容器写io负载,2022-05-03 10:18:39.000000
2022-05-03,adservice,adservice,service,k8s容器读io负载,2022-05-03 10:36:31.000000
2022-05-03,currencyservice,currencyservice,service,k8s容器网络资源包损坏,2022-05-03 12:19:52.000000
2022-05-03,checkoutservice,checkoutservice,service,k8s容器cpu负载,2022-05-03 12:44:08.000000
2022-05-03,currencyservice,currencyservice,service,k8s容器网络丢包,2022-05-03 13:54:44.000000
2022-05-03,checkoutservice,checkoutservice,service,k8s容器网络资源包损坏,2022-05-03 14:39:52.000000
2022-05-03,productcatalogservice2,productcatalogservice2-0,pod,k8s容器网络资源包重复发送,2022-05-03 14:55:09.000000
2022-05-03,productcatalogservice,productcatalogservice,service,k8s容器网络丢包,2022-05-03 15:13:42.000000
2022-05-03,shippingservice,shippingservice-1,pod,k8s容器内存负载,2022-05-03 15:46:46.000000
2022-05-03,paymentservice,paymentservice-1,pod,k8s容器读io负载,2022-05-03 17:39:19.000000
2022-05-03,emailservice,emailservice,service,k8s容器读io负载,2022-05-03 18:35:54.000000
2022-05-03,shippingservice,shippingservice-2,pod,k8s容器内存负载,2022-05-03 19:05:12.000000
2022-05-03,productcatalogservice,productcatalogservice,service,k8s容器内存负载,2022-05-03 19:47:34.000000
2022-05-03,recommendationservice,recommendationservice-0,pod,k8s容器网络资源包重复发送,2022-05-03 20:43:52.000000
2022-05-03,checkoutservice,checkoutservice,service,k8s容器网络资源包重复发送,2022-05-03 22:16:13.000000
2022-05-03,recommendationservice,recommendationservice,service,k8s容器内存负载,2022-05-03 22:35:09.000000
2022-05-03,frontend,frontend,service,k8s容器网络资源包损坏,2022-05-03 22:53:16.000000
2022-05-03,checkoutservice,checkoutservice-2,pod,k8s容器读io负载,2022-05-03 23:39:53.000000
2022-05-03,adservice,adservice,service,k8s容器网络延迟,2022-05-03 02:02:09.000000
2022-05-03,recommendationservice,recommendationservice,service,k8s容器进程中止,2022-05-03 05:17:18.000000
2022-05-03,currencyservice,currencyservice-1,pod,k8s容器网络延迟,2022-05-03 11:25:05.000000
2022-05-03,checkoutservice,checkoutservice,service,k8s容器进程中止,2022-05-03 16:28:04.000000
2022-05-03,adservice,adservice-2,pod,k8s容器网络延迟,2022-05-03 13:19:08.000000
2022-05-03,checkoutservice,checkoutservice-0,pod,k8s容器进程中止,2022-05-03 09:40:23.000000
2022-05-03,productcatalogservice2,productcatalogservice2-0,pod,k8s容器网络延迟,2022-05-03 17:58:55.000000
2022-05-05,shippingservice,shippingservice,service,k8s容器网络资源包损坏,2022-05-05 01:40:54.000000
2022-05-05,emailservice,emailservice-2,pod,k8s容器读io负载,2022-05-05 02:15:41.000000
2022-05-05,shippingservice2,shippingservice2-0,pod,k8s容器内存负载,2022-05-05 02:28:29.000000
2022-05-05,productcatalogservice,productcatalogservice-0,pod,k8s容器写io负载,2022-05-05 03:29:16.000000
2022-05-05,recommendationservice,recommendationservice-1,pod,k8s容器cpu负载,2022-05-05 05:20:08.000000
2022-05-05,recommendationservice2,recommendationservice2-0,pod,k8s容器网络丢包,2022-05-05 06:27:49.000000
2022-05-05,shippingservice2,shippingservice2-0,pod,k8s容器网络资源包损坏,2022-05-05 07:59:24.000000
2022-05-05,recommendationservice,recommendationservice-2,pod,k8s容器读io负载,2022-05-05 10:07:38.000000
2022-05-05,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-05 11:25:39.000000
2022-05-05,cartservice,cartservice,service,k8s容器网络资源包损坏,2022-05-05 12:07:38.000000
2022-05-05,cartservice,cartservice-0,pod,k8s容器内存负载,2022-05-05 13:24:37.000000
2022-05-05,adservice,adservice,service,k8s容器网络资源包重复发送,2022-05-05 14:29:12.000000
2022-05-05,checkoutservice,checkoutservice-0,pod,k8s容器网络资源包重复发送,2022-05-05 14:52:56.000000
2022-05-05,paymentservice,paymentservice-0,pod,k8s容器内存负载,2022-05-05 15:11:22.000000
2022-05-05,recommendationservice,recommendationservice,service,k8s容器网络丢包,2022-05-05 15:44:06.000000
2022-05-05,recommendationservice,recommendationservice,service,k8s容器cpu负载,2022-05-05 16:09:36.000000
2022-05-05,recommendationservice,recommendationservice,service,k8s容器读io负载,2022-05-05 16:46:05.000000
2022-05-05,currencyservice,currencyservice-2,pod,k8s容器cpu负载,2022-05-05 20:18:47.000000
2022-05-05,cartservice,cartservice,service,k8s容器网络资源包损坏,2022-05-05 20:52:57.000000
2022-05-05,adservice2,adservice2-0,pod,k8s容器网络丢包,2022-05-05 21:25:06.000000
2022-05-05,checkoutservice,checkoutservice,service,k8s容器cpu负载,2022-05-05 21:48:07.000000
2022-05-05,cartservice,cartservice,service,k8s容器网络资源包损坏,2022-05-05 22:13:53.000000
2022-05-05,frontend,frontend-1,pod,k8s容器网络资源包损坏,2022-05-05 22:55:17.000000
2022-05-05,recommendationservice,recommendationservice,service,k8s容器网络资源包重复发送,2022-05-05 23:20:00.000000
2022-05-05,checkoutservice,checkoutservice-2,pod,k8s容器进程中止,2022-05-05 17:47:58.000000
2022-05-05,frontend,frontend-2,pod,k8s容器网络延迟,2022-05-05 21:57:07.000000
2022-05-05,cartservice,cartservice-0,pod,k8s容器进程中止,2022-05-05 18:21:30.000000
2022-05-05,cartservice,cartservice,service,k8s容器网络延迟,2022-05-05 04:09:20.000000
2022-05-05,productcatalogservice,productcatalogservice,service,k8s容器进程中止,2022-05-05 17:27:18.000000
2022-05-05,paymentservice,paymentservice-0,pod,k8s容器网络延迟,2022-05-05 13:05:56.000000
2022-05-05,checkoutservice,checkoutservice,service,k8s容器网络延迟,2022-05-05 08:55:35.000000
2022-05-07,productcatalogservice,productcatalogservice,service,k8s容器网络资源包损坏,2022-05-07 01:30:08.000000
2022-05-07,frontend,frontend-2,pod,k8s容器写io负载,2022-05-07 01:53:03.000000
2022-05-07,emailservice,emailservice,service,k8s容器网络丢包,2022-05-07 02:53:31.000000
2022-05-07,frontend,frontend,service,k8s容器读io负载,2022-05-07 06:34:05.000000
2022-05-07,currencyservice,currencyservice-0,pod,k8s容器cpu负载,2022-05-07 06:48:53.000000
2022-05-07,frontend,frontend,service,k8s容器网络资源包重复发送,2022-05-07 07:55:06.000000
2022-05-07,recommendationservice,recommendationservice,service,k8s容器内存负载,2022-05-07 10:12:46.000000
2022-05-07,recommendationservice,recommendationservice,service,k8s容器写io负载,2022-05-07 10:45:23.000000
2022-05-07,currencyservice,currencyservice,service,k8s容器内存负载,2022-05-07 12:21:15.000000
2022-05-07,recommendationservice,recommendationservice-1,pod,k8s容器cpu负载,2022-05-07 12:56:07.000000
2022-05-07,checkoutservice,checkoutservice,service,k8s容器网络资源包重复发送,2022-05-07 13:57:47.000000
2022-05-07,recommendationservice,recommendationservice,service,k8s容器读io负载,2022-05-07 14:52:00.000000
2022-05-07,adservice,adservice,service,k8s容器内存负载,2022-05-07 15:24:13.000000
2022-05-07,adservice,adservice,service,k8s容器读io负载,2022-05-07 15:43:44.000000
2022-05-07,frontend,frontend,service,k8s容器网络丢包,2022-05-07 15:55:33.000000
2022-05-07,paymentservice,paymentservice,service,k8s容器网络丢包,2022-05-07 16:17:58.000000
2022-05-07,productcatalogservice,productcatalogservice-1,pod,k8s容器网络资源包重复发送,2022-05-07 17:02:24.000000
2022-05-07,adservice,adservice,service,k8s容器内存负载,2022-05-07 17:33:12.000000
2022-05-07,adservice,adservice-0,pod,k8s容器写io负载,2022-05-07 18:49:22.000000
2022-05-07,adservice2,adservice2-0,pod,k8s容器读io负载,2022-05-07 22:37:01.000000
2022-05-07,emailservice,emailservice,service,k8s容器网络资源包重复发送,2022-05-07 23:17:05.000000
2022-05-07,productcatalogservice,productcatalogservice,service,k8s容器网络延迟,2022-05-07 07:47:17.000000
2022-05-07,paymentservice,paymentservice-0,pod,k8s容器网络丢包,2022-05-07 05:11:15.000000
2022-05-07,shippingservice,shippingservice-1,pod,k8s容器网络丢包,2022-05-07 07:06:02.000000
2022-05-07,cartservice,cartservice,service,k8s容器网络延迟,2022-05-07 09:09:31.000000
2022-05-07,emailservice,emailservice-1,pod,k8s容器网络丢包,2022-05-07 08:47:49.000000
2022-05-07,emailservice,emailservice-2,pod,k8s容器网络资源包重复发送,2022-05-07 22:10:48.000000
2022-05-07,frontend,frontend,service,k8s容器网络延迟,2022-05-07 18:36:58.000000
2022-05-07,cartservice,cartservice-0,pod,k8s容器进程中止,2022-05-07 04:30:23.000000
2022-05-07,adservice,adservice,service,k8s容器网络延迟,2022-05-07 22:57:26.000000
2022-05-07,productcatalogservice,productcatalogservice-2,pod,k8s容器网络延迟,2022-05-07 04:53:14.000000
2022-05-07,shippingservice,shippingservice-1,pod,k8s容器网络延迟,2022-05-07 05:52:12.000000
2022-05-07,shippingservice,shippingservice-1,pod,k8s容器网络延迟,2022-05-07 02:32:32.000000
2022-05-07,productcatalogservice,productcatalogservice,service,k8s容器进程中止,2022-05-07 14:28:15.000000
2022-05-09,emailservice,emailservice-0,pod,k8s容器写io负载,2022-05-09 00:23:00.000000
2022-05-09,emailservice,emailservice-1,pod,k8s容器读io负载,2022-05-09 00:38:10.000000
2022-05-09,checkoutservice,checkoutservice,service,k8s容器cpu负载,2022-05-09 00:50:51.000000
2022-05-09,frontend,frontend-2,pod,k8s容器网络丢包,2022-05-09 01:10:02.000000
2022-05-09,shippingservice,shippingservice,service,k8s容器读io负载,2022-05-09 01:37:40.000000
2022-05-09,shippingservice,shippingservice-1,pod,k8s容器cpu负载,2022-05-09 01:53:11.000000
2022-05-09,frontend,frontend,service,k8s容器网络丢包,2022-05-09 02:34:18.000000
2022-05-09,shippingservice,shippingservice-1,pod,k8s容器cpu负载,2022-05-09 05:14:26.000000
2022-05-09,emailservice,emailservice,service,k8s容器写io负载,2022-05-09 05:40:23.000000
2022-05-09,recommendationservice,recommendationservice,service,k8s容器内存负载,2022-05-09 06:07:09.000000
2022-05-09,productcatalogservice,productcatalogservice,service,k8s容器网络丢包,2022-05-09 06:36:07.000000
2022-05-09,recommendationservice,recommendationservice-2,pod,k8s容器内存负载,2022-05-09 07:06:40.000000
2022-05-09,emailservice,emailservice,service,k8s容器内存负载,2022-05-09 07:23:42.000000
2022-05-09,shippingservice,shippingservice-0,pod,k8s容器网络资源包重复发送,2022-05-09 08:14:39.000000
2022-05-09,recommendationservice2,recommendationservice2-0,pod,k8s容器写io负载,2022-05-09 09:38:53.000000
2022-05-09,currencyservice,currencyservice,service,k8s容器cpu负载,2022-05-09 09:58:00.000000
2022-05-09,recommendationservice,recommendationservice,service,k8s容器写io负载,2022-05-09 10:37:22.000000
2022-05-09,paymentservice,paymentservice,service,k8s容器内存负载,2022-05-09 11:21:08.000000
2022-05-09,adservice,adservice-1,pod,k8s容器读io负载,2022-05-09 12:13:04.000000
2022-05-09,productcatalogservice,productcatalogservice,service,k8s容器网络资源包损坏,2022-05-09 14:45:17.000000
2022-05-09,checkoutservice,checkoutservice,service,k8s容器网络资源包重复发送,2022-05-09 14:56:43.000000
2022-05-09,frontend,frontend,service,k8s容器网络资源包损坏,2022-05-09 15:12:02.000000
2022-05-09,productcatalogservice,productcatalogservice-2,pod,k8s容器网络资源包重复发送,2022-05-09 15:33:54.000000
2022-05-09,frontend,frontend-1,pod,k8s容器cpu负载,2022-05-09 17:30:30.000000
2022-05-09,adservice,adservice-1,pod,k8s容器读io负载,2022-05-09 17:45:14.000000
2022-05-09,frontend,frontend-2,pod,k8s容器网络资源包损坏,2022-05-09 18:03:39.000000
2022-05-09,productcatalogservice,productcatalogservice-0,pod,k8s容器网络丢包,2022-05-09 18:38:23.000000
2022-05-09,frontend,frontend-1,pod,k8s容器内存负载,2022-05-09 19:05:18.000000
2022-05-09,emailservice,emailservice-2,pod,k8s容器网络丢包,2022-05-09 19:50:55.000000
2022-05-09,emailservice,emailservice,service,k8s容器网络资源包重复发送,2022-05-09 20:22:13.000000
2022-05-09,emailservice,emailservice,service,k8s容器写io负载,2022-05-09 20:31:43.000000
2022-05-09,cartservice,cartservice-2,pod,k8s容器网络资源包损坏,2022-05-09 21:14:21.000000
2022-05-09,currencyservice,currencyservice-2,pod,k8s容器cpu负载,2022-05-09 21:58:37.000000
2022-05-09,productcatalogservice,productcatalogservice,service,k8s容器网络资源包损坏,2022-05-09 22:56:17.000000
2022-05-09,recommendationservice,recommendationservice-0,pod,k8s容器内存负载,2022-05-09 23:37:25.000000
2022-05-09,cartservice,cartservice,service,k8s容器网络资源包损坏,2022-05-09 14:18:03.000000
2022-05-09,checkoutservice2,checkoutservice2-0,pod,k8s容器网络丢包,2022-05-09 13:44:38.000000
2022-05-09,shippingservice,shippingservice,service,k8s容器网络延迟,2022-05-09 16:31:56.000000
2022-05-09,paymentservice,paymentservice-2,pod,k8s容器进程中止,2022-05-09 18:52:24.000000
2022-05-09,adservice,adservice,service,k8s容器进程中止,2022-05-09 12:57:31.000000
